id,hits
100518,6743
100845,6614
101321,4632
101949,4332
100199,4047
102121,3658
101056,3564
101144,3509
100788,3408
100401,3382
102137,3083
101125,2880
100588,2765
102113,2637
101945,2602
100301,2599
100106,2539
101706,2522
100760,2511
100680,2259
102131,1994
100029,1984
101055,1871
100959,1860
101384,1853
101913,1842
101217,1776
100362,1771
101353,1744
100687,1691
100617,1593
100519,1565
100598,1540
100984,1417
100545,1412
101712,1391
102207,1370
100601,1294
100515,1274
100236,1256
100824,1244
101355,1225
100644,1223
100308,1214
101259,1197
101993,1184
101942,1150
101309,1139
101523,1124
100769,1107
100640,1093
100652,1082
101857,1077
101896,1074
100266,1058
100633,1028
100392,1013
101550,994
100410,992
101966,960
100771,954
101649,938
100001,928
100131,924
101112,897
100405,889
100390,858
100157,834
101751,833
100323,832
100682,824
101223,818
101507,816
100031,799
101743,796
100279,789
100698,777
101388,748
100761,743
201393,739
200076,718
102180,712
101717,712
100903,705
100918,701
102151,699
100055,695
101019,687
102169,682
100227,678
101439,673
100085,662
100298,649
102079,645
100765,643
101143,634
101578,623
101272,621
100344,618
101089,609
100600,596
100492,591
100077,582
100616,580
101843,574
101014,573
101705,571
100973,564
101886,559
102012,559
100897,558
101792,557
101293,553
101811,548
100842,538
102097,537
100058,534
101948,523
101104,519
101850,510
101840,505
100119,503
100549,502
101475,502
101536,491
100744,489
101698,486
100572,483
101711,477
100414,475
101779,464
100645,462
100290,456
101557,439
100324,437
101916,433
100079,420
200107,420
100243,411
101310,407
101538,405
101859,402
101610,400
100074,397
101774,394
101001,393
102061,392
101225,387
101211,387
100693,380
101775,375
100135,373
100435,371
101852,371
100852,369
102023,367
102144,358
100908,353
101387,349
102071,349
100356,348
101067,346
101238,344
101817,342
100571,340
101895,340
100064,339
101982,337
100567,334
101261,333
101256,333
101654,331
101249,329
100065,328
100067,327
100749,325
200305,324
101978,324
101816,322
101591,321
100250,320
101513,319
100059,317
101081,309
100006,306
102120,306
101417,303
100585,302
101954,299
200116,297
100524,297
101342,293
101491,293
101215,289
100093,286
100727,283
200135,281
101531,279
201035,278
100863,276
101848,276
101402,273
101819,271
100099,270
101960,266
101735,264
100752,264
100091,260
101333,259
100581,257
101905,257
100563,253
101956,252
101621,250
101983,250
100834,249
101778,245
100634,243
200890,240
100477,238
100994,237
101292,236
100886,234
100999,233
102087,233
101008,231
101856,230
100043,229
100113,227
100703,226
100534,226
101875,224
100573,224
100774,223
100450,223
100694,220
200034,219
100278,219
101296,219
100707,218
201312,218
102067,217
101989,216
100557,216
100381,216
100070,215
101046,215
100570,211
102076,210
100971,207
101718,207
101542,206
101697,205
100287,203
100066,203
101222,203
200106,202
100667,202
101108,201
101627,200
100444,199
100775,199
200689,199
100555,199
101015,198
101201,198
101346,196
101480,196
100149,196
100866,195
100745,194
200349,191
101198,191
101062,190
101271,189
101559,189
102189,188
201087,187
101877,187
101254,187
201386,185
100111,184
200767,184
101139,183
100934,180
101973,179
101950,179
101943,179
101761,179
101091,178
200605,178
101592,177
101283,177
100782,176
100980,176
100758,173
200248,173
101567,173
201458,173
100885,173
101517,172
100078,172
100307,171
101477,170
200634,170
101664,170
101958,169
100689,169
100038,169
100551,169
101196,168
101291,166
101686,166
101957,165
101124,165
201046,164
100709,164
100046,164
101645,163
100945,163
100932,161
100628,161
200049,160
200915,159
200643,159
102044,159
100280,159
201411,158
101798,157
101603,156
200525,156
200727,156
101226,156
101613,155
101006,153
101845,153
101207,152
200204,152
101334,152
100332,152
101515,152
100177,152
100650,151
101073,150
101338,149
102109,149
101588,148
200607,148
100947,148
100855,147
100019,147
100656,145
200999,145
200905,145
101682,145
201509,144
100252,143
101721,141
100312,139
100478,138
101663,138
101498,138
101216,138
101098,137
102139,137
100860,136
100521,134
101662,134
101876,134
100018,134
100114,134
102041,133
102126,132
101401,132
200642,131
100327,130
101424,130
200935,129
100759,129
200534,128
101365,128
100933,128
101265,128
100081,127
100107,127
200517,126
101608,126
100622,126
100439,126
100441,125
200201,125
200478,124
100726,124
100493,123
101007,123
200848,122
101628,122
101345,121
101606,121
200236,121
101138,121
201209,121
101951,120
101313,120
100602,120
100322,119
100348,119
101028,118
200424,118
101350,117
101479,116
101406,115
201151,115
100294,115
102057,114
201060,114
100904,114
100115,114
101499,114
100643,113
100273,112
200538,112
200082,112
100583,112
200070,111
100666,111
200824,111
200656,111
201048,111
201148,111
100629,110
200339,110
100609,110
100171,110
100251,109
100710,109
200311,109
101179,109
101087,109
101483,108
101524,108
100511,108
201318,107
101235,107
100578,107
102059,107
102165,107
101897,106
101210,106
200435,106
101359,106
201139,105
100651,105
100095,104
201248,104
101602,103
200834,103
101805,103
200791,103
100527,103
102046,103
201162,102
101511,102
102208,101
200644,101
200603,101
201443,101
200545,101
100249,101
100797,101
200290,100
201285,100
100770,100
101646,100
101429,100
100260,100
200826,99
200533,99
201440,99
101248,99
102063,99
101791,98
101040,98
101340,98
200479,98
100620,98
100580,98
101681,97
201178,97
100102,97
100060,97
200364,97
200873,97
100539,96
200850,96
100406,96
100737,95
200691,95
101126,95
100146,95
100856,94
101553,94
200211,93
200635,93
102026,93
102060,93
201409,93
200355,93
200256,92
201033,92
100546,92
100685,92
101807,91
201280,91
200810,90
101984,90
100939,90
101547,89
100794,89
200980,89
101955,89
100599,89
100037,89
101998,88
201261,88
101326,88
100604,87
100986,87
201262,87
201084,87
100921,87
100913,86
101500,86
100103,86
100097,86
201026,85
101822,85
200705,85
201281,85
100333,85
201126,84
101145,84
200528,84
201079,84
200870,83
200011,83
200289,83
101103,83
100798,83
200031,82
102065,82
101250,82
200626,82
100013,82
201410,82
200490,81
200516,81
200265,81
200823,81
102164,81
100126,81
201222,80
200404,80
100426,80
100785,80
100474,80
100334,80
101826,79
100094,79
101214,79
100991,79
200165,79
101149,79
201292,79
101419,78
200185,78
201403,78
201362,78
201023,78
100128,78
101801,77
201401,77
100329,76
102053,76
102047,76
200418,76
201082,76
200489,76
101773,76
100739,75
100020,75
102190,75
101786,75
100237,75
101193,75
101070,74
101102,74
201399,74
101944,74
101976,74
100015,73
101800,73
201313,73
200306,73
200153,73
200235,73
100925,73
200136,73
100076,73
200179,72
102172,72
101195,72
100639,72
201408,72
201208,72
101724,72
101946,72
100579,72
200210,71
201017,71
200259,71
200910,71
101426,71
200540,71
100068,71
200686,70
201111,70
200844,70
100108,70
100245,70
200985,70
100780,70
100668,70
200419,70
200878,69
101433,69
100120,69
101043,69
101716,69
101113,69
200330,68
201480,68
100631,68
101832,68
101229,67
101615,67
201507,67
100909,67
100201,67
101094,67
200715,67
101189,66
102103,66
200518,66
201027,66
200104,66
100561,66
201450,66
201010,65
201438,65
100188,65
102049,65
100303,65
200913,65
101243,65
101570,65
101430,64
200812,64
101366,64
100828,64
101880,64
100378,64
102166,64
100964,64
101833,64
100424,64
101563,64
200476,63
201120,63
101437,63
102093,63
101482,63
100440,63
201155,63
101415,62
200508,62
101035,62
200474,62
101150,62
101935,62
101889,62
200112,62
100084,62
100779,62
200611,62
201141,61
201022,61
200658,61
100446,61
101590,61
200060,61
200673,61
200233,61
101680,61
102185,61
102075,60
101155,60
100937,60
200138,60
101543,60
100073,60
